Index,Wrong_ISBN,Correct_ISBN
74908,01402.5448X,014025448X
74909,01402.54544,0140254544
74910,01402.57934,0140257934
74911,01402.65686,0140265686
74930,043916169,043916169X
74970,082176845,082176845X
75094,09644119,0964411911
75233,393096378,0393096378
75235,342661690,3426616904
76052,373055668,0373055668
76075,671782479,0671782479
76101,01402.82025,0140282025
76230,080411868,080411868X
76331,014025448,014025448X
76348,156731354,156731354X
76351,067089977,0670899771
76459,451172817,0451172817
76925,019282760,019282760X
76984,033034935,033034935X
76987,440181275,0440181275
76988,451180062,0451180062
76989,671028375,0671028375
77019,044022147,0440221471
77046,856351318,0856351318
77050,01402.80464,0140280464
77115,44900672,0449006727
77124,038547816,038547816X
77169,=743460529,0743460529
77328,034537483,0345374835
77331,044022265,0440222656
77333,0446=603309,0446603309
77334,044921375,0449213757
77335,053313268=1,0533132681
77337,067167037,0671670379
77350,881162027,8811620279
77433,671785281,0671785281
77436,081671038,0816710384
77440,840000001,8400000013
77465,037412998,0374129983
77589,394700031,0394700031
77753,342661892,3426618923
77934,01402.8009X,014028009X
77975,394700058,0394700058
77977,394711890,0394711890
77978,394712390,0394712390
77979,394717805,0394717805
78065,051513306,051513306X
78318,059013601,0590136011
78516,01400.53204,0140053204
78533,089870580,0898705800
78698,051511992,051511992X
78788,814907180,0814907180
78822,2.02.048170.7,2020481707
78913,031297493,0312974930
78930,09718801,0971880107
79015,055358099,055358099X
79053,225305764,2253057649
79125,055314156,0553141562
79128,051707396,051707396X
79185,000649840,000649840X
79240,01402.31226,0140231226
79312,068480087,068480087X
79335,44990024X,044990024X
79442,055321369,0553213695
79453,044023669,044023669X
79487,058604602,058604602X
79585,01420.01740,0142001740
79749,034544282,0345442822
79797,39483965X,039483965X
79812,09652481,0965248127
80016,425031748,0425031748
80017,01402.4482.4,0140244824
80195,01402.3313X,014023313X
80262,399501487,0399501487
80402,312265867,0312265867
80404,037326133,0373261330
80406,055357857,055357857X
80407,039446901,0394469011
80409,078688939,078688939X
80410,038550117,038550117X
80439,155874429,1558744290
80465,042515007,0425150070
80481,006=0176989,0060176989
80482,006050225,0060502258
80772,081181861,0811818616
80773,394404289,0394404289
80793,01400.53204,0140053204
80963,014043.0547,0140430547
81097,01402.96409,0140296409
81101,034540047,034540047X
81103,067149175,067149175X
81142,044021680,044021680X
81174,044661326,0446613266
81180,67121781X,067121781X
81450,01403.90316,0140390316
81547,038531809,038531809X
81580,014039.0014,0140390014
81676,207041573,2070415732
81794,045121101,0451211014
81910,038067033,038067033X
81933,*0515128325,0515128325
81956,051513287,051513287X
82014,553260669,0553260669
82015,671027387,0671027387
82016,684874350,0684874350
82032,2.02.025462.X,202025462X
82191,039913414,039913414X
82288,670000329,0670000329
82289,671774492,0671774492
82338,070368939,2070368939
82428,2.02.008806.1,2020088061
82450,006101351,006101351X
82451,039914465,039914465X
82452,055327872,055327872X
82455,039914562,0399145621
82472,038550253,0385502532
82544,044023722,044023722X
82546,01402.9628X,014029628X
82680,038072099,038072099X
82842,014050566,0140505660
83255,345341473,0345341473
83256,064430863,0064430863
83264,48628211,0486282112
83268,01402.9628X,014029628X
83273,006621161,0066211611
83319,038079325=3,0380793253
83322,060177209,0060177209
83325,142004235,0142004235
83327,767916069,0767916069
83476,449223345,0449223345
83477,451172817,0451172817
83478,451197410,0451197410
83479,553053671,0553053671
83480,671873113,0671873113
83481,80213825,080213825X
83572,033028124,0330281240
83659,671216333,0671216333
83660,684717603,0684717603
83670,006097673,006097673X
83734,01400.67477,0140067477
84083,006=0909927,0060909927
84190,671781383,0671781383
84193,037379035,037379035X
84235,044098324X`,044098324X
84266,014011906,014011906X
84438,042509760,0425097609
84482,380977354,0380977354
84554,067942887,0679428879
84618,031225343,0312253435
84624,061014591,0061014591
84631,38080472,0380804727
84673,870440837,0870440837
84682,037382503,037382503X
84729,044090580,044090580X
84789,067960135,067960135X
84918,843397023,8433970232
84941,014200182,0142001821
85006,055310222,0553102222
85593,059045661,059045661X
85957,089107390,0891073906
86360,01402.33016,0140233016
86380,399501487,0399501487
86403,064400077,0064400077
86697,880780705,880780705X
86845,880781385,8807813858
86973,007134798,0071347984
86977,006016164,0060161647
86983,03992303,039923036X
87015,034536829,0345368290
87097,2.207.24735.X,220724735X
87314,064400026,0064400026
87516,014015040,0140150404
87522,037601183,0376011831
87560,006101351,006101351X
87561,044020271,044020271X
87562,044021145,044021145X
87583,044809501,0448095017
87607,01420.0174,0142001740
87846,015216250,015216250X
87847,038573081,0385730810
87874,345370775,0345370775
87875,345378490,0345378490
87876,345380371,0345380371
87877,345391055,0345391055
87883,0380018179.,0380018179
87890,044651862,044651862X
87971,034538430,034538430X
88212,044100186,0441001866
88249,399501487,0399501487
88278,055326382,055326382X
88322,038072023,038072023X
88391,006080985,006080985X
88522,033048205,033048205X
88637,067144901,067144901X
88651,425173755,0425173755
88709,068486729,068486729X
88802,880781385,8807813858
88872,055327753,0553277537
89139,01402.5448X,014025448X
89157,006093140,006093140X
89167,039440062,0394400623
89282,842061312,8420613126
89366,067940712,067940712X
89399,00610524,0061052493
89543,059040394,059040394X
89554,067943559,067943559X
89693,330023063,0330023063
89871,155773044,155773044X
89898,006092988,006092988X
89963,006019832,006019832X
90038,087113795,087113795X
90049,014023313,014023313X
90057,055335387,055335387X
90141,060801263,0060801263
90142,060980877,060980877X
90144,067102601,0671026011
90149,345374797,0345374797
90150,385484283,0385484283
90151,425171515,0425171515
90152,440111323,0440111323
90154,449147452,0449147452
90155,451124685,0451124685
90157,553287346,0553287346
90189,042509760,0425097609
90416,843760518,8437605180
90425,031226312.0,0312263120
90431,006103116,006103116X
90434,340414595,340414595X
90440,034531042,034531042X
90506,006017528,0060175281
90580,044022490,044022490X
90690,345410106,0345410106
90736,880440886,8804408863
90793,006103021,006103021X
90840,394717805,0394717805
90923,2.02.023930.2,2020239302
90924,2.02.048170.7,2020481707
90925,2.02.049518,202049518X
90947,226612269,226612269X
91045,058604602,058604602X
91234,01401.6930X,014016930X
91268,037412998,0374129983
91273,373219091,0373219091
91461,044921811,0449218112
91992,006092798,0060927984
92088,067104281,0671042815
92146,014012437,0140124373
92255,014032871,0140328718
92256,059069216,059069216X
92271,042512519,042512519X
92332,014048.003X,014048003X
92649,038548518,0385485182
92658,034545737,0345457374
92879,01402.3313X,014023313X
92900,039914570,0399145702
92904,044021256,0440212561
92905,059043649,059043649X
92913,0060512/22,0060512229
92921,068487217,068487217X
92958,880781076,880781076X
93041,03945340,0394534077
93096,425030431,0425030431
93117,225305754,2253057541
93133,202025462,202025462X
93136,225314911,225314911X
93155,394839153,0394839153
93160,060533072,0060533072
93163,082176053,082176053X
93227,01400.07601,0140007601
93228,01400.3731.4,0140037314
93436,055321218,0553212184
93439,038071152,0380711524
93446,440183669,0440183669
93477,037570504,037570504X
93595,067100453,0671004530
93819,857978137,1857978137
93930,01420.03018,0142003018
93947,067089460,0670894605
94021,014011906,014011906X
94145,01400.67477,0140067477
94273,2.02.033163.2,2020331632
94294,01400.89225,0140089225
94300,39417800,0394178009
94301,44023669X,044023669X
94344,04251840,042518403X
94387,014011906,014011906X
94403,044652550,0446525502
94463,067976402,067976402X
94474,042514898,042514898X
94479,055315611,055315611X
94484,037438706,0374387060
94592,684718081,0684718081
94593,"04251,47363",0425147363
94596,01401.31558,0140131558
94618,157027074,1570270740
94630,033028284,0330282840
94654,044023719,044023719X
94663,044660940,0446609404
94680,038072118,038072118X
94746,01402.96409,0140296409
94761,01402.5448X,014025448X
94877,089281781,089281781X
94907,0=345391691,0345391691
94908,01400.6110X,014006110X
94909,038550120,038550120X
94915,014025919,0140259198
95106,321630287,3216302873
95155,006093315,0060933151
95206,06717471,0671747134
95244,394536746,0394536746
95246,045145111,0451451112
95257,006050225,0060502258
95258,014200174,0142001740
95259,037550186,037550186X
95260,039587514,0395875145
95264,67172289,0671722891
95265,68483339,0684833395
95310,517703963,0517703963
95328,01400.5925.3,0140059253
95329,01420.00221,0142000221
95342,0=671=253832,0671253832
95398,042511774,042511774X
95404,789/701/8,0789701839
95423,06001203X,006001203X
95424,060173289,0060173289
95425,060976845,0060976845
95426,061000469,0061000469
95427,061054143,0061054143
95428,061057363,0061057363
95429,064471713,0064471713
95430,064471721,0064471721
95432,312979894,0312979894
95433,316969680,0316969680
95434,345339681,0345339681
95435,345370775,0345370775
95436,345387554,0345387554
95437,345443284,0345443284
95438,380705354,0380705354
95439,380712091,0380712091
95440,380714752,0380714752
95441,380727501,0380727501
95444,385299109,0385299109
95445,385306032,0385306032
95446,385306040,0385306040
95447,385311923,0385311923
95448,385421982,0385421982
95449,385424736,0385424736
95450,385472943,0385472943
95451,385472951,0385472951
95452,385497466,0385497466
95453,385503822,0385503822
95454,425046117,0425046117
95455,42508020X,042508020X
95456,425085295,0425085295
95457,425098079,0425098079
95459,425104125,0425104125
95461,425122956,0425122956
95463,440201977,0440201977
95464,440208912,0440208912
95465,440222656,0440222656
95466,440224039,0440224039
95467,440224349,0440224349
95468,44023574X,044023574X
95470,441005241,0441005241
95472,441676405,0441676405
95473,446360074,0446360074
95474,446403423,0446403423
95475,44651538,0446515388
95477,446600474,0446600474
95478,446604712,0446604712
95479,446605883,0446605883
95480,446610178,0446610178
95481,446892041,0446892041
95483,451185110,0451185110
95484,451191692,0451191692
95485,451193334,0451193334
95486,451197747,0451197747
95487,451202341,0451202341
95488,451406095,0451406095
95489,452265819,0452265819
95490,515058548,0515058548
95492,515086991,0515086991
95493,515093556,0515093556
95494,515102385,0515102385
95495,515120618,0515120618
95496,515132187,0515132187
95498,517006677,0517006677
95499,517009935,0517009935
95500,517259222,0517259222
95503,553229818,0553229818
95504,553241141,0553241141
95505,55324700X,055324700X
95506,553261258,0553261258
95507,553268074,0553268074
95508,55327032X,055327032X
95510,55327300,0553273000
95511,553275976,0553275976
95512,553279556,0553279556
95513,553290789,0553290789
95514,55329490,0553294903
95515,553564528,0553564528
95517,553571885,0553571885
95518,555472141,1555472141
95519,555472206,1555472206
95522,575665735,1575665735
95523,590422642,0590422642
95524,671003755,0671003755
95526,671021001,0671021001
95527,671025694,0671025694
95529,67162461X,067162461X
95530,671708635,0671708635
95531,679433902,0679433902
95532,679444815,0679444815
95533,67945120,067945120X
95534,684717980,0684717980
95535,688084923,0688084923
95536,688149111,0688149111
95537,78670621X,078670621X
95538,786883375,0786883375
95539,800786084,0800786084
95540,805059555,0805059555
95541,821710680,0821710680
95542,821712489,0821712489
95544,821719246,0821719246
95548,843926686,0843926686
95551,843945168,0843945168
95552,843946288,0843946288
95553,843950560,0843950560
95555,84871069X,084871069X
95556,877961434,1877961434
95558,895771845,0895771845
95559,91516695X,091516695X
95684,072253955,072253955X
95931,042517480,0425174808
95979,394711890,0394711890
95988,842046435,842046435X
96078,055356957,0553569570
96467,349910170,349910170X
96503,044900378,0449003787
96519,055308013,055308013X
96527,006440336,006440336X
97068,074341261,0743412613
97090,01402.3313X,014023313X
97126,014044453,014044453X
97265,00610524,0061052493
97303,312265867,0312265867
97325,01400.43128,0140043128
97361,051509160,051509160X
97397,01400.43128,0140043128
97423,033026693,0330266934
97502,031676948,0316769487
97604,345285859,0345285859
97605,345384466,0345384466
97751,01404.34267,0140434267
97753,846630592,8466305920
97755,044651974,044651974X
97756,038079872,0380798727
97870,762727144,0762727144
97883,044631078,0446310786
97982,340414595,340414595X
98070,01400.1279.6,0140012796
98075,01400.3702.0,0140037020
98087,014001851.4,0140018514
98094,014002649.5,0140026495
98103,014003419.6,0140034196
98195,2.02.030109.1,2020301091
98281,006097685,0060976853
98377,006099486,006099486X
98651,044021754,0440217547
98745,188152760,1881527603
98753,590032496,0590032496
98842,038541581,0385415818
98933,157322529,1573225290
98943,067179552,067179552X
99128,059043385,0590433857
99192,3453212614§,3453212614
99210,006052837,0060528370
99279,01401.20556,0140120556
99358,671774492,0671774492
99409,038548350,0385483503
99410,044022103,044022103X
99412,055337379,055337379X
99415,067102082,067102082X
99416,067975556,067975556X
99417,067976397,067976397X
99418,067976402,067976402X
99420,068480414,068480414X
99561,155166880=7,1551668807
99589,037361386,0373613865
99647,059035342,059035342X
99652,067174920,067174920x
99660,2.02.023811.X,202023811X
99661,2.02.055077.6,2020550776
99680,0060930535.,0060930535
99695,344243386,344243386X
99887,345248007,0345248007
99909,044166251,044166251X
99916,037550676,0375506764
99988,045111908,0451119088
99995,055325097,0553250973
99997,067154921,0671549219
100000,067976397,067976397X
100009,345285387,0345285387
100207,394700023,0394700023
100226,059035342,059035342X
100267,349922786,349922786X
100284,345285859,0345285859
100285,345384466,0345384466
100589,01410.0018X,014100018X
100626,014044.0399,0140440399
100633,399503854,0399503854
100675,044640068,0446400688
100712,044651974,044651974X
100713,067942525,067942525X
100715,006440336,006440336X
100717,037322687,037322687X
100718,345307565,345307565X
100721,01460.00749,0146000749
100761,064400018,0064400018
100762,064400034,0064400034
100763,064400050,0064400050
100764,064400077,0064400077
100765,064400085,0064400085
100819,449901815,0449901815
100826,671802712,0671802712
100888,006440823,006440823X
100918,000649840,000649840X
101039,045120307,0451203070
101065,0=380730200,0380730200
101245,038077381,0380773813
101300,038550253,0385502532
101306,01402.82777,0140282777
101307,449912345,0449912345
101308,006016576,0060165766
101357,006016848,006016848X
101358,051512608,051512608X
101360,42518287,0425182878
101361,553580388,0553580388
101435,067087311,067087311X
101523,+0451197399,0451197399
101585,043936213,043936213X
101587,)440206529,0440206529
101689,09629803,0962980307
101717,059041714,0590417142
102428,807059811,0807059811
102450,202025462,202025462X
102602,006018873,0060188731
102642,006440188,006440188X
102644,373765738,0373765738
102704,038079487,038079487X
102746,014062029,014062029X
102786,344244084,344244084X
102864,379200027,379200027X
102993,01401.76640,0140176640
103012,843397023,8433970232
103041,014048.1346,0140481346
103050,586037950,0586037950
103124,031628495,0316284955
103125,031676948,0316769487
103126,034535049,0345350499
103127,034543943,0345439430
103128,034544686,0345446860
103130,037570305,0375703055
103133,045152315,0451523156
103165,014131088,014131088X
103270,373706340,0373706340
103291,380704587,0380704587
103292,670878073,0670878073
103293,679735186,0679735186
103315,045140400,0451404009
103382,006098824,006098824X
103567,06109414,0061094145
103568,345365399,0345365399
103569,517475669,0517475669
103570,553212583,0553212583
103571,560761539,1560761539
103572,560761547,1560761547
103576,67179065,067179065X
103578,785267050,0785267050
103579,88038767,088038767X
103582,045120671,0451206711
103609,425039587,0425039587
103610,425040801,0425040801
103632,059032411,059032411X
103665,2.207.24735.X,220724735X
103666,2.207.24922.0,2207249220
103710,076790382,076790382X
103979,155166833,1551668335
103983,006019491,006019491X
104223,55054892,1550548921
104269,099771519,0099771519
104306,01403.02395,0140302395
104353,394465369,0394465369
104573,342336020,3423360208
104597,014017432,014017432X
104608,038070892,0380708922
104612,042518109,042518109X
104623,044021145,044021145X
104633,044841113,044841113X
104634,044900399,044900399X
104649,055348096,0553480960
104650,055356957,0553569570
104657,059012921,059012921X
104666,059043683,059043683X
104673,059048347,0590483471
104674,059049449,059049449X
104678,059084766,059084766X
104698,082177603,0821776037
104705,086625370,086625370X
104706,086625501,086625501X
104707,086625503,0866255036
104716,088404289,0884042898
104727,155902983,1559029838
104735,330347772,0330347772
104737,394536738,0394536738
104740,452261368,0452261368
104745,590431390,0590431390
104746,671724843,0671724843
104859,159298041,1592980414
104882,01402.83641,0140283641
105008,014001751,0140017518
105084,096533192,096533192X
105085,031299353,0312993536
105086,045120959,0451209591
105504,042517890,0425178900
105570,399503854,0399503854
105577,039914496,039914496X
105687,03808210,038082101X
105784,394536746,0394536746
105818,037322583,0373225830
105857,439139597,0439139597
105978,01403.8572X,014038572X
105992,006093441,0060934417
106098,207041680,2070416801
106356,006095957,0060959576
106357,060175400,0060175400
106417,345341473,0345341473
106419,399501487,0399501487
106425,999999999,9999999999
106508,394702891,0394702891
106578,01400.16821,0140016821
106668,080507561,0805075615
106708,037320150,0373201508
106710,055324983,0553249835
106716,067091021,067091021X
106724,140032215,0140032215
106812,000649840,000649840X
106899,373289928,0373289928
106900,373289936,0373289936
106901,37329008X,037329008X
106902,373290098,0373290098
106903,37382501,0373825013
106904,425158616,0425158616
106905,515120871,0515120871
106906,671568175,0671568175
106937,01400.62254,0140062254
107022,006103142,0061031429
107078,345246004,0345246004
107187,061094145,0061094145
107214,055358247,055358247X
107276,034541389,034541389X
107292,014011906,014011906X
107307,344243386,344243386X
107329,055321086=6,0553210866
107401,186049532,186049532X
107457,01401.88592,0140188592
107477,055356160,055356160X
107656,064400085,0064400085
107669,055348450,0553484508
107684,009183228,0091832284
107770,880781000,880781000X
107791,01420.02267,0142002267
107813,039914465,039914465X
107845,01402.50948,0140250948
107903,044020898,044020898X
108048,84.239.2100.X,842392100X
108066,067960071,067960071X
108570,344243386,344243386X
108673,0140714.049,0140714049
108762,075284417,0752844172
108828,037322446,037322446X
108829,037322561,037322561X
108830,037322608,037322608X
108831,037322687,037322687X
108833,373225504,0373225504
108932,349922786,349922786X
109077,067189673,0671896733
109186,068485538,0684855380
109199,034540047,034540047X
109202,067149175,067149175X
109206,064400034,0064400034
109245,006=0176989,0060176989
109303,01400.71083,0140071083
109311,01401.8970X,014018970X
109331,078686602,0786866020
109544,006109202,0061092029
109550,038533334,038533334X
109554,038572142,0385721420
109849,006440370,006440370X
110172,038549633,0385496338
110230,006447268,006447268X
110283,006440188,006440188X
110321,671785621,0671785621
110322,67180281X,067180281X
110368,312855257,0312855257
110370,345315758,0345315758
110371,425027066,0425027066
110374,451099648,0451099648
110376,679444815,0679444815
110377,684853507,0684853507
110378,689117353,0689117353
110443,068485216,0684852160
110477,000616659,0006166598
110491,006092998,0060929987
110517,006101351,006101351X
110576,067178653,0671786539
110634,014600017,014600017X
110956,051512608,051512608X
111189,031298382,0312983824
111278,038001782,0380017822
111295,067152609,067152609X
111301,345303075,0345303075
111302,671434004,0671434004
111313,068816317,0688163173
111416,2.02.057124.2,2020571242
111463,038001002,038001002X
111473,039913206,0399132066
111474,044021355,044021355X
111477,067940229,0679402292
111478,067944122,0679441220
111479,067973604,0679736042
111512,01400.42210,0140042210
111534,031230503,0312305036
111856,225305764,2253057649
111960,038550120,038550120X
112120,50552490,0505524902
112121,74344426,0743444264
112122,84395048,084395048X
112145,01420.01740,0142001740
112159,140003136,1400031362
112252,01402.80499,0140280499
112296,684124971,0684124971
112457,380976587,0380976587
112697,045115700,0451157001
112854,031296924,0312969244
112883,067940712,067940712X
112904,155166545,155166545X
112907,157392004,1573920045
112908,157566741,157566741X
112950,01421.96061,0142196061
112958,014044.0100,0140440100
112978,059047877,059047877X
113075,000649840,000649840X
113136,099771519,0099771519
113244,425171515,0425171515
113249,380976587,0380976587
113269,030730219,0307302199
113313,0=440242002,0440242002
113553,04251840,042518403X
113612,072141088,072141088X
113732,679721886,0679721886
113765,067944815,0679448152
113848,006251153,006251153X
113914,068483376.X,068483376X
114006,072253955,072253955X
114042,679721886,0679721886
114080,006054564,006054564X
114140,373218419,0373218419
114141,373218427,0373218427
114142,373218435,0373218435
114143,373484836,0373484836
114144,373835922,0373835922
114146,01402.96409,0140296409
114150,038549274,038549274X
114152,039914248,0399142487
114153,039914465,039914465X
114158,07432=02961,0743202961
114161,156865233,156865233X
114233,064400077,0064400077
114234,064400085,0064400085
114325,884590184,884590184X
114459,39470262X,039470262X
114760,586040021,0586040021
114832,042517363,0425173631
114836,553576054,0553576054
114851,037328943,037328943X
114852,067187098,067187098X
115012,01401.74508,0140174508
115143,01400.53204,0140053204
115200,44651913,0446519138
115201,446519138,0446519138
115213,006019609,0060196092
115263,972210026,9722100262
115268,972370405,9723704056
115384,01401.47551,0140147551
115444,014029628,014029628X
115454,055325846,055325846X
115455,"\0679751521""",0679751521
115645,039440062,0394400623
115690,074322457,0743224574
115693,156924636,156924636X
115713,031603745,0316037451
115762,140440151,0140440151
115780,034538435,0345384350
115782,007122039,0007122039
116154,451099648,0451099648
116419,061095559,0061095559
116529,0449149676`,0449149676
116536,0+88677+720+8,0886777208
116566,345321255,345321255X
116586,014018523,0140185232
116726,140440623,0140440623
116729,01400.67647,0140067647
116960,076790592,076790592X
117010,038519957,0385199570
117126,01400.77022,0140077022
117451,067976402,067976402X
117576,344242529,3442425298
117653,2.02.032126.2,2020321262
117751,345251547,0345251547
117754,671781383,0671781383
117761,812551788,0812551788
117873,056353821,056353821X
117899,225305754,2253057541
117908,074324523,0743245237
117909,743411447,0743411447
117923,088396631,088396631X
117926,804109729,0804109729
118004,37321944X,037321944X
118351,060803320,0060803320
118582,01420.01740,0142001740
118633,068485538,0684855380
